prodi,jenis_kelamin,status_pegawai,ips_1,ips_2,ips_3,ips_4,ips_5,ips_6,ips_7,ips_8,IPK,sks_mk,lama_studi,lulus_tepat_waktu,angkatan,lulus_umur,umur
Teknik Industri,Laki-laki,Bekerja,3.22333333333333,3.43142857142857,2.94777777777778,2.90875,3.33444444444444,3.37625,3.42857142857143,3.5,3.26881944444444,146,3,Tepat waktu,2015,25,22
Teknik Industri,Perempuan,Bekerja,3.30555555555556,3.43,3.11111111111111,3.34375,3.55777777777778,3.47,3.64285714285714,3.75,3.4513814484127,146,3,Tepat waktu,2015,23,20
Teknik Industri,Laki-laki,Bekerja,3.22555555555556,3.32428571428571,2.94666666666667,3.22,3.30666666666667,3.03625,3.60714285714286,3.75,3.30207093253968,146,3,Tepat waktu,2015,35,32
Teknik Industri,Laki-laki,Bekerja,3.33444444444444,3.28857142857143,3.22444444444444,3.44,3.22444444444444,2.69,3.57285714285714,3.5,3.28434523809524,146,3,Tepat waktu,2015,23,20
Teknik Industri,Laki-laki,Bekerja,3.14222222222222,3.39428571428571,3,3.25,3.33555555555556,3.15875,3.64285714285714,3.5,3.30295882936508,146,3,Tepat waktu,2015,25,22
Teknik Industri,Laki-laki,Bekerja,2.92222222222222,3.25285714285714,2.86222222222222,2.91,3.22222222222222,3.37625,3.68,3.75,3.24697172619048,146,3,Tepat waktu,2015,24,21
Teknik Industri,Laki-laki,Bekerja,3.55777777777778,3.67857142857143,3.44666666666667,3.78125,3.61111111111111,3.84375,3.92857142857143,4,3.7309623015873,146,3,Tepat waktu,2015,37,34
Teknik Industri,Laki-laki,Bekerja,3.05888888888889,3.11,2.91777777777778,2.81375,3.08555555555556,3.28125,3.57142857142857,3.5,3.16733134920635,146,3,Tepat waktu,2015,29,26
Teknik Industri,Laki-laki,Bekerja,3.19555555555556,3.25142857142857,3.08666666666667,3.21875,3.47222222222222,3.58333333333333,3.54166666666667,4,3.41870287698413,146,6,Tidak tepat waktu,2015,34,28
Teknik Industri,Laki-laki,Tidak bekerja,3.33444444444444,3.39428571428571,3.08666666666667,3.03125,3.25222222222222,3.31375,3.71428571428571,3.75,3.3596130952381,146,3,Tepat waktu,2015,24,21
Teknik Industri,Laki-laki,Bekerja,3.05777777777778,3.28857142857143,2.83555555555556,3.25125,3.00111111111111,2.84625,3.35714285714286,3.75,3.17345734126984,146,3,Tepat waktu,2015,23,20
Teknik Industri,Laki-laki,Tidak bekerja,3.16888888888889,3.35857142857143,2.75111111111111,3.15875,3.38888888888889,3.4075,3.75,3.5,3.31046378968254,146,3,Tepat waktu,2015,24,21
Teknik Industri,Laki-laki,Bekerja,2.94666666666667,2.85857142857143,2.58444444444444,2.69,3.00222222222222,3.0325,3.57142857142857,3.75,3.05447916666667,146,3,Tepat waktu,2015,23,20
Teknik Industri,Laki-laki,Tidak bekerja,3.33555555555556,3.25375,3.3475,3.06375,3.41666666666667,2.88,3.64285714285714,3.75,3.33625992063492,146,5,Tepat waktu,2015,25,20
Teknik Industri,Laki-laki,Bekerja,3.19777777777778,3.60714285714286,3.11444444444444,3.28375,3.80666666666667,3.59375,3.78571428571429,3.75,3.51740575396825,146,3,Tepat waktu,2015,24,21
Teknik Industri,Laki-laki,Bekerja,3.19666666666667,3.46571428571429,3.08666666666667,3.625,3.17111111111111,3.5625,3.82142857142857,3.75,3.45988591269841,146,3,Tepat waktu,2015,32,29
Teknik Industri,Laki-laki,Bekerja,3.11333333333333,3.43142857142857,3.03222222222222,3.00125,3.55555555555556,3.50125,3.82142857142857,3.75,3.40080853174603,146,3,Tepat waktu,2015,23,20
Teknik Industri,Perempuan,Bekerja,3.33444444444444,3.25,2.75333333333333,3.34375,3.39,3.34375,3.57428571428571,3.75,3.34244543650794,146,3,Tepat waktu,2015,24,21
Teknik Industri,Laki-laki,Bekerja,3.14,3.32428571428571,3.03222222222222,2.755,3.27888888888889,3.43875,3.71428571428571,3.75,3.30417906746032,146,3,Tepat waktu,2015,25,22
Teknik Industri,Laki-laki,Bekerja,2.94777777777778,3.18285714285714,2.75111111111111,2.94125,3.03111111111111,3.09875,3.60714285714286,3.75,3.16375,146,3,Tepat waktu,2015,30,27
Teknik Industri,Laki-laki,Bekerja,3.08666666666667,3.25142857142857,3.08555555555556,3.18875,3.36333333333333,3.5,3.64285714285714,3.75,3.35857390873016,146,3,Tepat waktu,2015,26,23
Teknik Industri,Laki-laki,Tidak bekerja,2.92,3.28714285714286,2.75111111111111,3.22375,2.86444444444444,3.0025,3.46571428571429,3.75,3.15808283730159,146,3,Tepat waktu,2015,28,25
